iter	Passed	Remaining
710	5755	2339
711	5764	2331
712	5771	2322
713	5779	2315
714	5785	2306
715	5794	2298
716	5800	2289
717	5807	2280
718	5814	2272
719	5821	2263
720	5829	2255
721	5835	2247
722	5844	2239
723	5851	2230
724	5859	2222
725	5865	2213
726	5872	2205
727	5880	2197
728	5886	2188
729	5894	2180
730	5900	2171
731	5907	2163
732	5915	2154
733	5925	2147
734	5932	2138
735	5941	2131
736	5949	2122
737	5956	2114
738	5963	2106
739	5969	2097
740	5976	2089
741	5983	2080
742	5990	2071
743	5997	2063
744	6003	2054
745	6011	2046
746	6019	2038
747	6028	2031
748	6036	2022
749	6045	2015
750	6052	2006
751	6061	1998
752	6069	1990
753	6079	1983
754	6088	1975
755	6098	1968
756	6112	1961
757	6123	1954
758	6133	1947
759	6145	1940
760	6156	1933
761	6164	1925
762	6174	1917
763	6185	1910
764	6192	1902
765	6198	1893
766	6206	1885
767	6212	1876
768	6219	1868
769	6225	1859
770	6231	1850
771	6239	1842
772	6245	1833
773	6252	1825
774	6258	1816
775	6264	1808
776	6272	1800
777	6278	1791
778	6285	1783
779	6292	1774
780	6297	1765
781	6304	1757
782	6310	1748
783	6317	1740
784	6323	1731
785	6330	1723
786	6337	1715
787	6343	1706
788	6350	1698
789	6360	1690
790	6368	1682
791	6374	1674
792	6386	1667
793	6393	1658
794	6406	1652
795	6417	1644
796	6424	1636
797	6431	1628
798	6437	1619
799	6443	1610
800	6451	1602
801	6457	1594
802	6465	1586
803	6471	1577
804	6477	1569
805	6488	1561
806	6494	1553
807	6501	1544
808	6507	1536
809	6514	1528
810	6520	1519
811	6529	1511
812	6535	1503
813	6541	1494
814	6548	1486
815	6554	1478
816	6561	1469
817	6567	1461
818	6574	1452
819	6581	1444
820	6588	1436
821	6595	1428
822	6602	1419
823	6608	1411
824	6615	1403
825	6621	1394
826	6629	1386
827	6634	1378
828	6641	1369
829	6648	1361
830	6654	1353
831	6661	1345
832	6667	1336
833	6674	1328
834	6680	1320
835	6687	1311
836	6694	1303
837	6701	1295
838	6708	1287
839	6715	1279
840	6721	1270
841	6729	1262
842	6735	1254
843	6742	1246
844	6748	1237
845	6754	1229
846	6763	1221
847	6769	1213
848	6776	1205
849	6782	1196
850	6789	1188
851	6796	1180
852	6802	1172
853	6814	1165
854	6822	1157
855	6830	1149
856	6838	1141
857	6845	1132
858	6851	1124
859	6858	1116
860	6866	1108
861	6875	1100
862	6881	1092
863	6889	1084
864	6896	1076
865	6903	1068
866	6910	1060
867	6916	1051
868	6923	1043
869	6929	1035
870	6937	1027
871	6943	1019
872	6949	1011
873	6956	1002
874	6962	994
875	6969	986
876	6975	978
877	6981	970
878	6989	962
879	6996	954
880	7004	946
881	7011	938
882	7019	930
883	7025	921
884	7033	913
885	7039	905
886	7046	897
887	7053	889
888	7059	881
889	7067	873
890	7073	865
891	7079	857
892	7086	849
893	7092	840
894	7100	832
895	7107	824
896	7116	817
897	7122	809
898	7131	801
899	7138	793
900	7145	785
901	7153	777
902	7160	769
903	7168	761
904	7174	753
905	7183	745
906	7189	737
907	7196	729
908	7204	721
909	7210	713
910	7219	705
911	7225	697
912	7233	689
913	7239	681
914	7246	673
915	7253	665
916	7259	657
917	7268	649
918	7274	641
919	7281	633
920	7289	625
921	7297	617
922	7303	609
923	7316	601
924	7329	594
925	7344	586
926	7352	578
927	7358	570
928	7365	562
929	7372	554
930	7381	547
931	7387	539
932	7395	531
933	7439	525
934	7456	518
935	7467	510
936	7481	503
937	7493	495
938	7582	492
939	7599	485
940	7611	477
941	7619	469
942	7629	461
943	7639	453
944	7646	445
945	7656	437
946	7664	428
947	7675	421
948	7683	412
949	7692	404
950	7699	396
951	7710	388
952	7720	380
953	7729	372
954	7739	364
955	7747	356
956	7757	348
957	7766	340
958	7780	332
959	7790	324
960	7802	316
961	7811	308
962	7822	300
963	7830	292
964	7841	284
965	7850	276
966	7862	268
967	7874	260
968	7885	252
969	7892	244
970	7903	236
971	7909	227
972	7918	219
973	7925	211
974	7934	203
975	7941	195
976	7950	187
977	7958	179
978	7966	170
979	7975	162
980	7983	154
981	7991	146
982	8002	138
983	8008	130
984	8018	122
985	8024	113
986	8035	105
987	8042	97
988	8050	89
989	8057	81
990	8066	73
991	8072	65
992	8081	56
993	8087	48
994	8097	40
995	8104	32
996	8113	24
997	8120	16
998	8127	8
999	8134	0
